derived_loan_product_type,derived_dwelling_category,total_units,loan_purpose,loan_amount,loan_to_value_ratio,lien_status,loan_term,property_value,occupancy_type,income,debt_to_income_ratio,Reply
Conventional:First Lien,Single Family (1-4 Units):Site-Built,1.0,Refinancing,355000.0,69.0,Secured by a first lien,360.0,515000.0,Principal residence,55.0,48,This loan should be granted at an interest rate of 4.5%.
Conventional:First Lien,Single Family (1-4 Units):Site-Built,1.0,Cash-out refinancing,505000.0,62.95,Secured by a first lien,360.0,795000.0,Principal residence,140.0,30%-<36%,This loan should be granted at an interest rate of 4.5%.
FHA:First Lien,Single Family (1-4 Units):Site-Built,1.0,Cash-out refinancing,765000.0,73.05,Secured by a first lien,360.0,1035000.0,Principal residence,290.0,20%-<30%,This loan should be granted at an interest rate of 5.0%.
Conventional:First Lien,Single Family (1-4 Units):Site-Built,1.0,Refinancing,335000.0,59.12,Secured by a first lien,360.0,575000.0,Investment Property,139.0,20%-<30%,This loan should be granted at an interest rate of 5.875%.
Conventional:First Lien,Single Family (1-4 Units):Site-Built,1.0,Refinancing,385000.0,40.74,Secured by a first lien,360.0,955000.0,Principal residence,100.0,30%-<36%,This loan should be granted at an interest rate of 4.5%.
Conventional:First Lien,Multifamily:Site-Built,5.24,Home purchase,445000.0,,Secured by a first lien,1.0,1605000.0,Investment Property,,,This loan should be granted at an interest rate of 5%.
Conventional:First Lien,Single Family (1-4 Units):Site-Built,1.0,Home purchase,295000.0,80.0,Secured by a first lien,372.0,375000.0,Principal residence,138.0,37,The loan should be granted at an interest rate of 4.5%.
FSA/RHS:First Lien,Single Family (1-4 Units):Site-Built,1.0,Refinancing,225000.0,103.45,Secured by a first lien,360.0,215000.0,Principal residence,74.0,,"Yes, this loan should be granted. The interest rate should be 5.875%."
Conventional:First Lien,Single Family (1-4 Units):Site-Built,1.0,Home purchase,585000.0,70.0,Secured by a first lien,1.0,845000.0,Principal residence,,,This loan should be granted at an interest rate of 4.5%.
Conventional:First Lien,Single Family (1-4 Units):Site-Built,1.0,Other purpose,15000.0,4.27,Secured by a first lien,300.0,355000.0,Principal residence,33.0,30%-<36%,"Yes, the loan should be granted. The interest rate should be 4.5%."
Conventional:First Lien,Multifamily:Site-Built,5.24,Home purchase,1255000.0,70.0,Secured by a first lien,180.0,1795000.0,Investment Property,,,This loan should be granted at an interest rate of 5%.
Conventional:First Lien,Single Family (1-4 Units):Site-Built,2.0,Refinancing,245000.0,33.75,Secured by a first lien,180.0,735000.0,Principal residence,138.0,36,"Yes, this loan should be granted. The interest rate should be 5.875%."
