which_bank,census_tract,accept,received,loan_amount,income
All Other Banks,4001942700.0,0,1,165000.0,30.0
All Other Banks,4001944300.0,0,1,135000.0,50.0
All Other Banks,4001944902.0,0,1,115000.0,77.0
All Other Banks,4001945001.0,0,3,515000.0,56.0
All Other Banks,4001970200.0,1,3,745000.0,112.0
All Other Banks,4001970501.0,0,8,1310000.0,90.0
All Other Banks,4001970502.0,1,13,3075000.0,82.5
All Other Banks,4003000100.0,0,1,55000.0,42.0
All Other Banks,4003000203.0,1,3,625000.0,42.0
All Other Banks,4003000301.0,0,1,135000.0,51.0
All Other Banks,4003000302.0,2,12,2390000.0,59.5
All Other Banks,4003000303.0,0,3,555000.0,102.0
All Other Banks,4003000400.0,1,2,410000.0,106.5
All Other Banks,4003000500.0,1,2,230000.0,92.5
All Other Banks,4003000600.0,0,1,155000.0,52.0
All Other Banks,4003000700.0,2,4,520000.0,135.5
All Other Banks,4003000800.0,2,3,415000.0,65.0
All Other Banks,4003000901.0,0,2,320000.0,42.5
All Other Banks,4003000902.0,0,4,310000.0,57.0
All Other Banks,4003001000.0,0,2,740000.0,117.5
All Other Banks,4003001100.0,0,6,930000.0,81.5
All Other Banks,4003001200.0,0,1,75000.0,60.0
All Other Banks,4003001300.0,1,3,465000.0,44.0
All Other Banks,4003001501.0,3,7,1425000.0,62.5
All Other Banks,4003001502.0,1,2,180000.0,
All Other Banks,4003001601.0,1,4,820000.0,
All Other Banks,4003001602.0,0,1,105000.0,
All Other Banks,4003001701.0,2,9,1435000.0,90.0
All Other Banks,4003001702.0,0,1,275000.0,75.0
All Other Banks,4003001703.0,1,8,1140000.0,56.5
All Other Banks,4003001800.0,2,14,3000000.0,59.0
All Other Banks,4003001900.0,4,17,3605000.0,100.0
All Other Banks,4003002001.0,2,13,2435000.0,89.0
All Other Banks,4003002002.0,0,5,1145000.0,86.0
All Other Banks,4003002100.0,1,6,2050000.0,65.0
All Other Banks,4005000100.0,1,6,2100000.0,129.0
All Other Banks,4005000200.0,0,3,405000.0,88.0
All Other Banks,4005000300.0,0,3,785000.0,61.0
All Other Banks,4005000400.0,0,9,2305000.0,80.0
All Other Banks,4005000500.0,0,5,1215000.0,86.0
All Other Banks,4005000600.0,0,6,1830000.0,168.0
All Other Banks,4005000700.0,1,6,1780000.0,114.0
All Other Banks,4005000800.0,0,1,325000.0,65.0
All Other Banks,4005000900.0,0,4,1910000.0,105.0
All Other Banks,4005001000.0,1,1,105000.0,235.0
All Other Banks,4005001101.0,1,7,2535000.0,147.5
All Other Banks,4005001102.0,0,10,3270000.0,153.0
All Other Banks,4005001200.0,1,4,1600000.0,82.0
All Other Banks,4005001301.0,3,10,3180000.0,101.5
All Other Banks,4005001302.0,2,8,2460000.0,78.0
All Other Banks,4005001500.0,1,15,3835000.0,135.5
All Other Banks,4005001600.0,0,4,2340000.0,165.0
All Other Banks,4005001700.0,1,2,540000.0,87.0
All Other Banks,4005002000.0,0,4,640000.0,85.0
All Other Banks,4005002100.0,1,10,2210000.0,53.0
All Other Banks,4005002200.0,4,23,10955000.0,115.0
All Other Banks,4005002300.0,1,9,1705000.0,62.0
All Other Banks,4007000100.0,2,9,2375000.0,144.0
All Other Banks,4007000200.0,0,6,1380000.0,139.5
All Other Banks,4007000301.0,2,11,2875000.0,80.5
All Other Banks,4007000302.0,1,5,1405000.0,72.0
All Other Banks,4007000400.0,0,10,2870000.0,63.5
All Other Banks,4007000500.0,2,6,1570000.0,48.5
All Other Banks,4007000600.0,1,2,430000.0,200.0
All Other Banks,4007000700.0,0,1,95000.0,0.0
All Other Banks,4007000900.0,1,2,130000.0,
All Other Banks,4007001000.0,2,4,590000.0,66.0
All Other Banks,4007001100.0,0,1,155000.0,90.0
All Other Banks,4007001200.0,0,1,125000.0,70.0
All Other Banks,4007940400.0,0,1,105000.0,22.0
All Other Banks,4009961100.0,0,2,250000.0,91.0
All Other Banks,4009961201.0,0,2,470000.0,68.5
All Other Banks,4009961202.0,1,3,345000.0,80.5
All Other Banks,4009961300.0,0,3,315000.0,72.0
All Other Banks,4009961400.0,2,5,875000.0,92.5
All Other Banks,4009961500.0,0,3,295000.0,11.0
All Other Banks,4009961700.0,1,5,1110000.0,67.5
All Other Banks,4011960100.0,0,3,695000.0,67.0
All Other Banks,4011960300.0,0,2,380000.0,72.5
All Other Banks,4012020201.0,0,5,2095000.0,161.0
All Other Banks,4012020501.0,0,2,110000.0,66.0
All Other Banks,4012020502.0,0,3,335000.0,44.0
All Other Banks,4012940200.0,0,5,805000.0,67.0
All Other Banks,4013010101.0,3,15,9105000.0,160.5
All Other Banks,4013010102.0,5,14,11080000.0,293.0
All Other Banks,4013030401.0,0,4,3250000.0,213.5
All Other Banks,4013030402.0,1,5,1955000.0,144.0
All Other Banks,4013040502.0,1,8,2430000.0,104.0
All Other Banks,4013040506.0,2,12,1980000.0,43.0
All Other Banks,4013040507.0,0,12,2050000.0,47.5
All Other Banks,4013040512.0,1,5,1385000.0,71.0
All Other Banks,4013040513.0,1,3,515000.0,56.0
All Other Banks,4013040514.0,1,3,605000.0,84.5
All Other Banks,4013040515.0,0,6,1930000.0,81.0
All Other Banks,4013040516.0,0,29,7715000.0,72.0
All Other Banks,4013040517.0,8,30,7500000.0,70.0
All Other Banks,4013040518.0,5,41,12215000.0,85.0
All Other Banks,4013040519.0,4,25,9855000.0,170.0
All Other Banks,4013040520.0,4,28,10975000.0,128.5
All Other Banks,4013040521.0,6,24,6680000.0,81.0
All Other Banks,4013040522.0,0,6,1620000.0,73.5
All Other Banks,4013040523.0,0,4,1000000.0,85.0
All Other Banks,4013040524.0,0,2,340000.0,45.0
All Other Banks,4013040525.0,0,4,840000.0,36.5
All Other Banks,4013040526.0,2,4,680000.0,41.0
All Other Banks,4013040527.0,0,4,1210000.0,69.0
All Other Banks,4013040528.0,2,14,3560000.0,76.0
All Other Banks,4013040529.0,0,2,320000.0,69.0
All Other Banks,4013040530.0,0,5,1305000.0,107.0
All Other Banks,4013040531.0,1,3,405000.0,118.0
All Other Banks,4013050603.0,0,4,800000.0,60.0
All Other Banks,4013050604.0,0,8,2060000.0,77.5
All Other Banks,4013050605.0,13,65,16635000.0,87.0
All Other Banks,4013050606.0,8,48,16420000.0,112.0
All Other Banks,4013050607.0,4,20,4700000.0,68.0
All Other Banks,4013050608.0,3,19,4445000.0,72.0
All Other Banks,4013050609.0,2,11,2605000.0,58.0
All Other Banks,4013050610.0,9,58,13280000.0,72.5
All Other Banks,4013050611.0,1,12,2850000.0,71.0
All Other Banks,4013050701.0,2,11,2255000.0,49.0
All Other Banks,4013050702.0,5,13,2785000.0,74.5
All Other Banks,4013060801.0,1,2,380000.0,55.5
All Other Banks,4013060802.0,0,5,995000.0,51.0
All Other Banks,4013060901.0,2,7,1305000.0,55.5
All Other Banks,4013060902.0,1,4,970000.0,39.0
All Other Banks,4013060903.0,3,8,1410000.0,78.0
All Other Banks,4013060904.0,1,4,840000.0,90.0
All Other Banks,4013061009.0,2,35,9215000.0,87.0
All Other Banks,4013061010.0,0,9,2555000.0,80.0
All Other Banks,4013061011.0,4,27,8535000.0,94.0
All Other Banks,4013061012.0,2,12,3850000.0,91.0
All Other Banks,4013061013.0,1,12,2460000.0,85.0
All Other Banks,4013061014.0,2,8,1520000.0,70.0
All Other Banks,4013061015.0,1,10,2440000.0,69.0
All Other Banks,4013061016.0,3,19,6545000.0,124.0
All Other Banks,4013061018.0,1,11,3365000.0,93.0
All Other Banks,4013061019.0,3,21,6845000.0,93.0
All Other Banks,4013061020.0,0,1,475000.0,101.0
All Other Banks,4013061021.0,0,1,345000.0,98.0
All Other Banks,4013061022.0,4,18,4480000.0,75.0
All Other Banks,4013061023.0,3,31,7875000.0,90.5
All Other Banks,4013061024.0,2,5,1365000.0,93.5
All Other Banks,4013061025.0,2,22,6500000.0,87.0
All Other Banks,4013061026.0,1,16,3860000.0,61.0
All Other Banks,4013061027.0,2,15,2715000.0,49.5
All Other Banks,4013061028.0,1,3,785000.0,77.0
All Other Banks,4013061029.0,2,13,2885000.0,59.0
All Other Banks,4013061030.0,4,14,3450000.0,97.0
All Other Banks,4013061031.0,7,25,8035000.0,121.5
All Other Banks,4013061032.0,2,16,3970000.0,99.0
All Other Banks,4013061033.0,1,8,1690000.0,72.0
All Other Banks,4013061034.0,1,16,4580000.0,106.0
All Other Banks,4013061035.0,0,8,2350000.0,111.0
All Other Banks,4013061036.0,1,7,2095000.0,123.0
