which_bank,census_tract,sum_approved_loans,mean_LTV,mean_approved_rate_spread,mean_approved_interest_rate,num_approved_loans,num_applications,sum_all_loan_amount,median_all_income,acceptance_rate,denial_rate,avg_approved_loan_size
All Other Banks,4001945001.0,270000.0,48.8795,-0.043999999999999984,2.5625,2,3,825000.0,125.0,0.6666666666666666,0.33333333333333337,135000.0
All Other Banks,4001945100.0,225000.0,77.63,0.719,3.375,1,1,225000.0,126.0,1.0,0.0,225000.0
All Other Banks,4001970200.0,4700000.0,80.89944,0.71848,3.2508800000000004,26,42,7310000.0,61.0,0.6190476190476191,0.38095238095238093,180769.23076923078
All Other Banks,4001970300.0,325000.0,82.817,1.1443333333333332,3.0833333333333335,3,5,815000.0,85.0,0.6,0.4,108333.33333333333
All Other Banks,4001970501.0,3615000.0,76.51006666666667,0.4022380952380952,2.998095238095238,21,32,4990000.0,56.5,0.65625,0.34375,172142.85714285713
All Other Banks,4001970502.0,15065000.0,74.57590740740741,0.3801551724137931,2.9797457627118646,59,68,16820000.0,88.0,0.8676470588235294,0.13235294117647056,255338.98305084746
All Other Banks,4003000100.0,530000.0,92.5,0.6645,3.125,2,7,1295000.0,39.0,0.2857142857142857,0.7142857142857143,265000.0
All Other Banks,4003000201.0,2850000.0,74.32211111111111,0.3886666666666667,2.928888888888889,18,23,3765000.0,85.0,0.782608695652174,0.21739130434782605,158333.33333333334
All Other Banks,4003000202.0,4135000.0,91.63247619047618,0.5818,3.1384000000000003,25,31,4975000.0,51.5,0.8064516129032258,0.19354838709677424,165400.0
All Other Banks,4003000203.0,6115000.0,80.15772058823529,0.42965714285714285,2.942,35,39,7205000.0,86.0,0.8974358974358975,0.10256410256410253,174714.2857142857
All Other Banks,4003000301.0,6480000.0,82.92461764705882,0.5173888888888889,3.1072105263157894,38,47,7655000.0,49.0,0.8085106382978723,0.19148936170212771,170526.31578947368
All Other Banks,4003000302.0,9375000.0,79.19429523809524,0.4146666666666667,2.981590909090909,45,56,10810000.0,71.5,0.8035714285714286,0.1964285714285714,208333.33333333334
All Other Banks,4003000303.0,9280000.0,85.96109090909091,0.5660227272727273,3.0463478260869565,46,56,10720000.0,55.0,0.8214285714285714,0.1785714285714286,201739.13043478262
All Other Banks,4003000400.0,4400000.0,75.72803333333334,0.40095238095238095,3.117608695652174,24,30,5350000.0,65.0,0.8,0.19999999999999996,183333.33333333334
All Other Banks,4003000500.0,2300000.0,76.47245454545454,0.3770833333333334,2.737916666666667,12,22,3400000.0,54.0,0.5454545454545454,0.4545454545454546,191666.66666666666
All Other Banks,4003000600.0,870000.0,86.54333333333334,0.859,3.0825,6,10,1640000.0,43.0,0.6,0.4,145000.0
All Other Banks,4003000700.0,3330000.0,76.5766111111111,0.39536363636363636,2.816818181818182,22,26,3860000.0,72.0,0.8461538461538461,0.15384615384615385,151363.63636363635
All Other Banks,4003000800.0,2060000.0,76.5715,0.536,3.0390625,16,19,2395000.0,53.5,0.8421052631578947,0.1578947368421053,128750.0
All Other Banks,4003000901.0,780000.0,84.2558,0.7833333333333333,3.25,6,9,1045000.0,38.0,0.6666666666666666,0.33333333333333337,130000.0
All Other Banks,4003000902.0,730000.0,84.0605,1.3353333333333335,3.3958333333333335,6,7,835000.0,38.0,0.8571428571428571,0.1428571428571429,121666.66666666667
All Other Banks,4003001000.0,5985000.0,80.24376071428571,0.44325000000000003,3.15,29,38,7140000.0,118.0,0.7631578947368421,0.23684210526315785,206379.3103448276
All Other Banks,4003001100.0,4115000.0,75.94316785714285,0.5187037037037038,3.0386206896551724,29,37,5065000.0,67.0,0.7837837837837838,0.21621621621621623,141896.55172413794
All Other Banks,4003001200.0,2830000.0,83.81858823529411,0.6153529411764707,3.2475,18,25,3935000.0,69.0,0.72,0.28,157222.22222222222
All Other Banks,4003001300.0,9430000.0,84.2357962962963,0.5590666666666666,3.1055,60,80,11570000.0,48.0,0.75,0.25,157166.66666666666
All Other Banks,4003001501.0,11805000.0,89.50874186046512,0.13450980392156864,2.8626470588235295,51,59,13185000.0,66.5,0.864406779661017,0.13559322033898302,231470.58823529413
All Other Banks,4003001502.0,4850000.0,84.42975666666666,0.8214848484848485,3.2184848484848487,34,43,6025000.0,52.0,0.7906976744186046,0.2093023255813954,142647.0588235294
All Other Banks,4003001601.0,21985000.0,87.99285952380953,0.2888252427184466,2.944238095238095,105,116,23820000.0,67.5,0.9051724137931034,0.09482758620689657,209380.95238095237
All Other Banks,4003001602.0,4275000.0,84.74974074074073,0.6904482758620689,3.202241379310345,29,33,4705000.0,54.0,0.8787878787878788,0.12121212121212122,147413.7931034483
All Other Banks,4003001701.0,10580000.0,82.23331578947368,0.41625396825396827,3.05359375,64,80,13100000.0,58.0,0.8,0.19999999999999996,165312.5
All Other Banks,4003001702.0,12445000.0,79.10072244897958,0.2374150943396226,2.9145283018867922,53,62,13940000.0,67.5,0.8548387096774194,0.14516129032258063,234811.320754717
All Other Banks,4003001703.0,25335000.0,83.9920761061947,0.2813145161290323,2.954475806451613,125,144,28320000.0,77.0,0.8680555555555556,0.13194444444444442,202680.0
All Other Banks,4003001800.0,42495000.0,79.11543892215569,0.22672972972972974,2.831,189,220,49070000.0,83.0,0.8590909090909091,0.14090909090909087,224841.26984126985
All Other Banks,4003001900.0,45295000.0,81.36830935251798,0.0724240506329114,2.782509316770186,161,185,50795000.0,91.5,0.8702702702702703,0.12972972972972974,281335.4037267081
All Other Banks,4003002001.0,23420000.0,84.623096875,0.3296880733944954,2.9316972477064223,110,122,25480000.0,73.0,0.9016393442622951,0.09836065573770492,212909.0909090909
All Other Banks,4003002002.0,14200000.0,86.1423,0.16518750000000001,2.717578125,64,75,16055000.0,68.5,0.8533333333333334,0.1466666666666666,221875.0
All Other Banks,4003002100.0,28405000.0,80.2627581632653,0.22568807339449543,2.866,111,137,33405000.0,82.0,0.8102189781021898,0.1897810218978102,255900.9009009009
All Other Banks,4005000100.0,20715000.0,62.81516981132076,0.2839622641509434,3.020283018867924,53,59,22685000.0,108.0,0.8983050847457628,0.10169491525423724,390849.0566037736
All Other Banks,4005000200.0,9965000.0,64.96611666666666,0.3368333333333334,3.1006451612903225,31,35,11015000.0,65.0,0.8857142857142857,0.11428571428571432,321451.6129032258
All Other Banks,4005000300.0,11515000.0,67.1174864864865,0.5830285714285713,3.3181621621621624,37,50,14790000.0,93.0,0.74,0.26,311216.2162162162
All Other Banks,4005000400.0,20900000.0,70.12807746478873,0.527,3.2022535211267606,72,81,22435000.0,73.5,0.8888888888888888,0.11111111111111116,290277.77777777775
All Other Banks,4005000500.0,14385000.0,71.75380784313725,0.5355471698113208,3.187109090909091,55,69,16575000.0,77.0,0.7971014492753623,0.2028985507246377,261545.45454545456
All Other Banks,4005000600.0,31025000.0,66.4307175,0.22870129870129868,3.0273624999999997,81,89,33915000.0,127.0,0.9101123595505618,0.0898876404494382,383024.6913580247
All Other Banks,4005000700.0,21600000.0,69.48469838709677,0.41466153846153847,3.0941060606060606,66,78,24880000.0,108.0,0.8461538461538461,0.15384615384615385,327272.7272727273
All Other Banks,4005000800.0,53535000.0,69.92111764705884,0.7965833333333333,3.6286670588235292,17,20,55560000.0,206.5,0.85,0.15000000000000002,3149117.6470588236
All Other Banks,4005000900.0,42415000.0,66.864375,0.31562626262626264,3.060118811881188,101,120,48490000.0,113.5,0.8416666666666667,0.15833333333333333,419950.49504950497
All Other Banks,4005001000.0,620000.0,81.739,0.5035000000000001,3.245,2,2,620000.0,129.5,1.0,0.0,310000.0
All Other Banks,4005001101.0,24435000.0,73.63483472222222,0.42255714285714285,3.2062876712328765,73,82,27090000.0,111.0,0.8902439024390244,0.1097560975609756,334726.0273972603
All Other Banks,4005001102.0,47800000.0,74.07482836879431,0.47976595744680856,3.2177931034482756,146,162,52120000.0,97.0,0.9012345679012346,0.09876543209876543,327397.2602739726
All Other Banks,4005001200.0,11545000.0,62.66248275862069,0.361,3.1243103448275864,29,34,33300000.0,117.5,0.8529411764705882,0.1470588235294118,398103.4482758621
All Other Banks,4005001301.0,27270000.0,70.0453918918919,0.4093943661971831,3.090095890410959,74,94,33490000.0,93.0,0.7872340425531915,0.21276595744680848,368513.5135135135
All Other Banks,4005001302.0,33665000.0,72.05295670103094,0.49859183673469387,3.1228265306122447,99,123,40065000.0,89.5,0.8048780487804879,0.19512195121951215,340050.50505050505
All Other Banks,4005001500.0,49035000.0,70.48624585987261,0.47450000000000003,3.180633540372671,163,191,55265000.0,120.0,0.8534031413612565,0.1465968586387435,300828.2208588957
All Other Banks,4005001600.0,23545000.0,62.05685777777777,0.21772093023255815,3.0027777777777778,45,60,29380000.0,160.0,0.75,0.25,523222.22222222225
All Other Banks,4005001700.0,18620000.0,76.83278461538463,0.5053538461538462,3.239705882352941,68,81,21115000.0,82.0,0.8395061728395061,0.16049382716049387,273823.5294117647
All Other Banks,4005002000.0,2205000.0,71.03566666666667,0.5535,3.067222222222222,9,13,2985000.0,105.0,0.6923076923076923,0.3076923076923077,245000.0
All Other Banks,4005002100.0,8185000.0,75.956315625,0.23775675675675678,2.8122432432432434,37,44,9990000.0,69.0,0.8409090909090909,0.15909090909090906,221216.2162162162
All Other Banks,4005002200.0,61465000.0,73.14639875776398,0.4596770186335403,3.151648484848485,165,179,66305000.0,96.0,0.9217877094972067,0.07821229050279332,372515.1515151515
All Other Banks,4005002300.0,20980000.0,78.84616666666668,0.6899878048780488,3.252378048780488,82,102,26470000.0,62.5,0.803921568627451,0.196078431372549,255853.65853658537
All Other Banks,4007000100.0,28545000.0,68.37335714285715,0.32683,3.1002745098039215,103,119,32695000.0,113.0,0.865546218487395,0.134453781512605,277135.92233009706
All Other Banks,4007000200.0,14505000.0,65.46173214285714,0.39239285714285715,3.0113859649122805,57,76,18360000.0,113.0,0.75,0.25,254473.68421052632
All Other Banks,4007000301.0,28655000.0,69.55589285714287,0.41978947368421055,3.109299145299145,117,146,33700000.0,67.0,0.8013698630136986,0.1986301369863014,244914.5299145299
All Other Banks,4007000302.0,13760000.0,66.7319298245614,0.4830833333333333,3.14590625,64,79,16435000.0,57.0,0.810126582278481,0.189873417721519,215000.0
All Other Banks,4007000400.0,32690000.0,70.14773076923078,0.42885981308411214,3.0858532110091743,110,127,36845000.0,94.0,0.8661417322834646,0.13385826771653542,297181.8181818182
All Other Banks,4007000500.0,26430000.0,70.5141111111111,0.47783870967741937,3.1610842105263157,96,110,28470000.0,74.0,0.8727272727272727,0.12727272727272732,275312.5
All Other Banks,4007000600.0,3100000.0,73.80550000000001,0.359,3.023846153846154,14,20,3730000.0,44.0,0.7,0.30000000000000004,221428.57142857142
All Other Banks,4007000700.0,2830000.0,91.5308125,0.8256428571428571,3.4050000000000002,16,24,4080000.0,62.0,0.6666666666666666,0.33333333333333337,176875.0
All Other Banks,4007000800.0,380000.0,91.0,0.24050000000000002,2.875,2,3,505000.0,0.0,0.6666666666666666,0.33333333333333337,190000.0
