conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,preapproval,loant_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,discount_points,lender_credits,loan_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,income,debt_to_income_ratio,applicant_credit_score_type,Ethnicity
C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Preapproval not requested,Conventional,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,445000.0,80.0,2.75,2459.6,,360.0,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,555000.0,Site-built,Principal residence,3.0,5.0,1.0,136.0,37,Equifax Beacon 5.0,white
NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Preapproval requested,Conventional,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,855000.0,45.699,2.5,,,360.0,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,1865000.0,Site-built,Principal residence,3.0,5.0,1.0,256.0,36,FICO Risk Score Classic 04,white
C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Preapproval not requested,Conventional,Home improvement,Secured by a subordinate lien,Not a reverse mortgage,Open-end line of credit,Not primarily for a business or commercial purpose,65000.0,39.646,4.75,,,420.0,1.0,No negative amortization,Interest-only payment,No balloon payment,No other non-fully amortizing features,385000.0,Site-built,Principal residence,3.0,5.0,1.0,98.0,20%-<30%,Experian Fair Isaac,white
C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Preapproval not requested,Conventional,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Primarily for a business or commercial purpose,145000.0,27.73,3.375,,,360.0,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,515000.0,Site-built,Investment Property,3.0,5.0,1.0,16.0,20%-<30%,Experian Fair Isaac,white
C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Preapproval not requested,Federal Housing Administration FHA,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,395000.0,93.0,3.25,,,360.0,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,415000.0,Site-built,Principal residence,3.0,5.0,1.0,88.0,50%-60%,FICO Risk Score Classic 04,white
C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Preapproval not requested,Federal Housing Administration FHA,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,275000.0,94.536,2.625,,1570.4,360.0,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,285000.0,Site-built,Principal residence,3.0,5.0,1.0,0.0,,Not Applicable,white
C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Preapproval not requested,Conventional,Other purpose,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,515000.0,70.4,2.75,,,360.0,180.0,No negative amortization,Interest-only payment,No balloon payment,No other non-fully amortizing features,725000.0,Site-built,Second residence,3.0,5.0,1.0,241.0,48,Experian Fair Isaac,white
C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Preapproval not requested,Conventional,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,205000.0,40.0,2.99,,,240.0,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,505000.0,Site-built,Principal residence,3.0,5.0,1.0,84.0,30%-<36%,Experian Fair Isaac,white
C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Preapproval not requested,Conventional,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,545000.0,72.0,2.99,601.18,,360.0,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,755000.0,Site-built,Principal residence,3.0,5.0,1.0,125.0,30%-<36%,Equifax Beacon 5.0,white
NC,VA:First Lien,Single Family (1-4 Units):Site-Built,Preapproval not requested,Veterans Affiars guaranteed VA,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,555000.0,100.0,2.5,,2036.0,360.0,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,535000.0,Site-built,Principal residence,3.0,5.0,1.0,110.0,50%-60%,Equifax Beacon 5.0,white
