,activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,simplified_applicant_age_above_62,state_simplified,loant_type,debt_to_income_ratio2
3935,2021,RVDPPPGHCGZ40J4VQ731,40900.0,CA,6067.0,6067008141.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,Loan Originated,Freddie Mac,Preapproval not requested,1,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,275000.0,53.66,3.125,0.22,Not a high-cost mortgage,2557.2,,1174.0,,1546.47,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,515000.0,Site-built,Principal residence,3.0,5.0,1.0,,75.0,39,Equifax Beacon 5.0,No co-applicant,Not Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Asian,White,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Female,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,50.0,,,1.0,1.0,1.0,,,,,Not applicable,,,,6973,37.85,90900,61,736.0,1642.0,36,0.0,0,Conventional,0.39
3834,2021,RVDPPPGHCGZ40J4VQ731,41884.0,CA,6075.0,6075022803.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Application denied,Not applicable,Preapproval not requested,1,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,435000.0,43.44,,,Not applicable,,,,,,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,995000.0,Site-built,Principal residence,3.0,5.0,1.0,,124.0,37,FICO Risk Score Classic 04,No co-applicant,Not Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,White,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Female,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,60.0,,,1.0,1.0,1.0,,,,,Credit application incomplete,,,,4832,68.34,145400,70,552.0,1208.0,76,0.0,0,Conventional,0.37
1583,2021,FT6J43S06X6CLJ0R0B48,41884.0,CA,6075.0,6075026200.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,Loan Originated,Not applicable,Preapproval not requested,1,Other purpose,Secured by a first lien,Not a reverse mortgage,Open-end line of credit,Not primarily for a business or commercial purpose,255000.0,18.519,4.125,1.38,Not a high-cost mortgage,,,,,,1.0,,1.0,No negative amortization,Interest-only payment,No balloon payment,No other non-fully amortizing features,1355000.0,Site-built,Principal residence,3.0,5.0,1.0,,,,Not Applicable,Experian Fair Isaac,Not Hispanic or Latino,,,,,Not Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Chinese,,,,,Chinese,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Male,Female,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,50.0,40.0,No,1.0,1.0,6.0,,,,,Not applicable,,,,7746,90.3,145400,73,1339.0,1953.0,68,0.0,0,Conventional,
1142,2021,549300TF1E42EUFBSL45,36084.0,CA,6001.0,6001435103.0,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Female,Loan Originated,Not applicable,Preapproval not requested,1,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,975000.0,44.327,2.875,-0.14,Not a high-cost mortgage,4064.25,,850.0,,450.0,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,2205000.0,Site-built,Principal residence,3.0,5.0,1.0,,300.0,20%-<30%,Experian Fair Isaac,No co-applicant,Info not provided by applicant in mail internet or telephone appplication,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Info not provided by applicant in mail internet or telephone appplication,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Female,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,60.0,,,1.0,1.0,1.0,,,,,Not applicable,,,,6690,69.93,125600,174,1990.0,2205.0,21,1.0,0,Conventional,0.25
379,2021,FT6J43S06X6CLJ0R0B48,40900.0,CA,6067.0,6067008508.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,Loan Originated,Not applicable,Preapproval not requested,1,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,475000.0,70.0,4.25,0.634,Not a high-cost mortgage,6480.07,,3250.59,2370.59,,1.0,,60.0,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,675000.0,Site-built,Principal residence,3.0,5.0,1.0,,,,Equifax Beacon 5.0,No co-applicant,Not Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Chinese,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Female,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,30.0,,,1.0,1.0,6.0,,,,,Not applicable,,,,7652,51.87,90900,182,1812.0,2088.0,16,0.0,0,Conventional,
987,2021,549300TF1E42EUFBSL45,40140.0,CA,6071.0,6071008800.0,,Conventional:First Lien,Multifamily:Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,Loan Originated,Not applicable,Preapproval not requested,1,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Primarily for a business or commercial purpose,2105000.0,71.92,3.4,,Not applicable,,,,,,180.0,,84.0,No negative amortization,No interest-only payments,Balloon payment,No other non-fully amortizing features,2925000.0,Site-built,Investment Property,3.0,5.0,5.24,0.0,,,Not Applicable,No co-applicant,Not Applicable,,,,,Other Hispanic or Latino,,,,,Not applicable,No co-applicant,Not Applicable,,,,,No co-applicant,,,,,Not applicable,No co-applicant,Not applicable,No co-applicant,Not applicable,No co-applicant,,,,2.0,1.0,6.0,,,,,Not applicable,,,,6054,37.97,77500,92,997.0,2397.0,53,,0,Conventional,
3827,2021,RVDPPPGHCGZ40J4VQ731,40140.0,CA,6065.0,6065044904.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,Loan Originated,Ginnie Mae,Preapproval not requested,2,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,395000.0,92.9,3.125,1.159,Not a high-cost mortgage,7848.25,,100.0,,8297.98,360.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,425000.0,Site-built,Principal residence,3.0,5.0,1.0,,,,FICO Risk Score Classic 04,Not Applicable,Not Hispanic or Latino,,,,,Not Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,White,,,,,White,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Male,Female,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,50.0,50.0,No,1.0,1.0,6.0,,,,,Not applicable,,,,5158,66.44,77500,102,1026.0,1652.0,25,0.0,0,Federal Housing Administration FHA,
2012,2021,FT6J43S06X6CLJ0R0B48,40140.0,CA,6071.0,6071001903.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,Loan Originated,Not applicable,Preapproval not requested,1,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,485000.0,60.0,4.0,0.274,Not a high-cost mortgage,4670.54,,980.0,,,2.0,,36.0,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,805000.0,Site-built,Principal residence,3.0,5.0,1.0,,,,Not Applicable,No co-applicant,Not Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Chinese,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Male,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,40.0,,,1.0,1.0,6.0,,,,,Not applicable,,,,9493,71.13,77500,162,1532.0,1816.0,0,0.0,0,Conventional,
1307,2021,FT6J43S06X6CLJ0R0B48,41940.0,CA,6085.0,6085503118.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,Loan Originated,Not applicable,Preapproval not requested,1,Home purchase,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,355000.0,70.0,4.375,0.461,Not a high-cost mortgage,2810.26,,880.0,,,1.0,,60.0,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,505000.0,Site-built,Principal residence,3.0,5.0,1.0,,,,FICO Risk Score Classic 04,No co-applicant,Not Hispanic or Latino,,,,,Other Hispanic or Latino,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Chinese,,,,,No co-applicant,,,,,Not collected on the basis of visual observation or surname,No co-applicant,Female,No co-applicant,Not collected on the basis of visual observation or surname,No co-applicant,50.0,,,1.0,1.0,6.0,,,,,Not applicable,,,,5557,95.74,148700,59,385.0,704.0,37,0.0,0,Conventional,
3220,2021,RVDPPPGHCGZ40J4VQ731,41940.0,CA,6085.0,6085504001.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,Loan Originated,Freddie Mac,Preapproval not requested,1,Refinancing,Secured by a first lien,Not a reverse mortgage,Not an open-end line of credit,Not primarily for a business or commercial purpose,365000.0,44.24,2.25,-0.027,Not a high-cost mortgage,2727.0,,969.0,,1902.7,180.0,,,No negative amortization,No interest-only payments,No balloon payment,No other non-fully amortizing features,825000.0,Site-built,Principal residence,3.0,5.0,1.0,,150.0,39,FICO Risk Score Classic 04,Not Applicable,11.0,Hispanic or Latino,,,,Hispanic or Latino,11.0,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,White,,,,,White,,,,,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,Male,Female,Not collected on the basis of visual observation or surname,Not collected on the basis of visual observation or surname,40.0,50.0,No,2.0,1.0,1.0,,,,,Not applicable,,,,6332,94.69,148700,68,884.0,1276.0,51,0.0,0,Conventional,0.39
