derived_loan_product_type,derived_dwelling_category,total_units,loan_purpose,loan_amount,loan_to_value_ratio,lien_status,loan_term,property_value,occupancy_type,income,debt_to_income_ratio,race,Reply
Conventional:First Lien,Single Family (1-4 Units):Site-Built,1.0,Refinancing,275000.0,53.66,Secured by a first lien,360.0,515000.0,Principal residence,75.0,39,Asian,"Yes, this loan should be granted. The interest rate for this loan should be 5.25%."
Conventional:First Lien,Single Family (1-4 Units):Site-Built,1.0,Refinancing,435000.0,43.44,Secured by a first lien,360.0,995000.0,Principal residence,124.0,37,Asian,"Yes, this loan should be granted. The interest rate for this loan should be 4.5%."
Conventional:First Lien,Single Family (1-4 Units):Site-Built,1.0,Other purpose,255000.0,18.519,Secured by a first lien,1.0,1355000.0,Principal residence,,,Asian,This loan should be granted at an interest rate of 3.875%.
Conventional:First Lien,Single Family (1-4 Units):Site-Built,1.0,Refinancing,975000.0,44.327,Secured by a first lien,360.0,2205000.0,Principal residence,300.0,20%-<30%,Asian,"Yes, this loan should be granted. The interest rate should be 4.5%."
Conventional:First Lien,Single Family (1-4 Units):Site-Built,1.0,Home purchase,475000.0,70.0,Secured by a first lien,1.0,675000.0,Principal residence,,,Asian,This loan should be granted at an interest rate of 4.5%.
Conventional:First Lien,Multifamily:Site-Built,5.24,Home purchase,2105000.0,71.92,Secured by a first lien,180.0,2925000.0,Investment Property,,,Asian,"Yes, this loan should be granted. The interest rate should be 4.5%."
FHA:First Lien,Single Family (1-4 Units):Site-Built,1.0,Refinancing,395000.0,92.9,Secured by a first lien,360.0,425000.0,Principal residence,,,Asian,This loan should be granted at an interest rate of 3.625%.
Conventional:First Lien,Single Family (1-4 Units):Site-Built,1.0,Home purchase,485000.0,60.0,Secured by a first lien,2.0,805000.0,Principal residence,,,Asian,This loan should be granted at an interest rate of 4.5%.
Conventional:First Lien,Single Family (1-4 Units):Site-Built,1.0,Home purchase,355000.0,70.0,Secured by a first lien,1.0,505000.0,Principal residence,,,Asian,"Yes, this loan should be granted. The interest rate will be 4.5%."
Conventional:First Lien,Single Family (1-4 Units):Site-Built,1.0,Refinancing,365000.0,44.24,Secured by a first lien,180.0,825000.0,Principal residence,150.0,39,Asian,"Yes, this loan should be granted at an interest rate of 5%."
